Ticker,Price,Price_Date,Currency,FX_Rate,Revenue,Net_Income,EPS_Raw,EPS_Local,EBITDA,Total_Assets,Total_Equity,Total_Debt,Cash,Operating_Income,Pretax_Income,Tax_Expense,Avg_Shares,Gross_Margin,Oper_Margin,Profit_Margin,EBITDA_Margin,Fiscal_Year,Period_End,Income_Currency,FX_Applied,Calc_roe,Calc_roa,Calc_roic,Calc_pe_ttm,Calc_pe_forward_est,Calc_pb,Calc_ev_ebitda,Calc_ev_sales,Calc_debt_equity,Calc_current_ratio,Calc_working_capital,Anomalies
FISV,51.38,2026-08-20,USD,1.0,20866000000.0,2801000000.0,5.239921429239547,5.239921429239547,7927000000.0,80133000000.0,25809000000.0,29123000000.0,798000000.0,4468000000.0,3294000000.0,555000000.0,534550000.0,56.220646027029616,21.412824690884694,13.42375155755775,37.99003163040353,2026,2026-06-30,USD,False,0.1085280328567554,0.03495438832940237,0.06862960246458512,9.805490539093181,10.388396414769453,1.06,7.04,2.67,1.1284048200240226,1.03197990791126,764000000.0,
FIVE,236.31,2026-08-20,USD,1.0,5079222000.0,440549000.0,7.985830633588956,7.985830633588956,757477000.0,4937019000.0,2193290000.0,2032189000.0,932207000.0,560795000.0,586375000.0,145826000.0,55166334.0,36.805144567416036,11.040962572614466,8.673552760639327,14.913248525069392,2027,2026-04-30,USD,False,0.20086217508856558,0.08923380687819918,0.12793674731516688,29.591161000342755,17.069182597923145,5.94,18.66,2.78,0.9265482448741389,2.0091309698261854,962717000.0,
GOOG,338.2,2026-08-20,USD,1.0,445867000000.0,244205000000.0,20.17847920841166,20.17847920841166,172865000000.0,595281000000.0,415265000000.0,59291000000.0,126843000000.0,147628000000.0,299269000000.0,55064000000.0,12102250000.0,60.89641081309,33.11032213642185,54.7708173065062,38.77053022538111,2026,2026-06-30,USD,False,0.5880702683828398,0.4102348302734339,0.34645004923547035,16.760430580864437,6.750461273089281,9.86,23.29,9.03,0.14277870757227312,2.005333592875566,103293000000.0,
GRAB,3.51,2026-08-20,USD,1.0,3731000000.0,597000000.0,0.146086532656947,0.146086532656947,326000000.0,11983000000.0,6757000000.0,2053000000.0,6804000000.0,332000000.0,518000000.0,-7000000.0,4086619000.0,43.63441436612168,8.898418654516217,16.001072098633074,8.73760385955508,2026,2026-06-30,USD,False,0.08835281929850525,0.04982057915380122,0.16774002317372208,24.026855427135676,,2.12,29.43,2.57,0.3038330620097677,1.7462718824292198,3453000000.0,
INTU,361.87,2026-08-20,USD,1.0,20925000000.0,4584000000.0,16.489208633093526,16.489208633093526,6584000000.0,36958000000.0,19710000000.0,6639000000.0,4552000000.0,5749000000.0,5843000000.0,1259000000.0,278000000.0,79.95698924731182,27.47431302270012,21.906810035842295,31.464755077658303,2026,2026-04-30,USD,False,0.232572298325723,0.12403268575139348,0.20692087541451734,21.945868237347295,14.084018098088295,5.1,15.6,4.91,0.33683409436834094,1.3603664416586307,3737000000.0,
IREN,42.6,2026-08-20,USD,1.0,757074000.0,76923000.0,0.25763520676887,0.25763520676887,-140474000.0,2940323000.0,1817488000.0,964232000.0,564526000.0,-221331000.0,76073000.0,-850000.0,298573324.0,53.58445805826115,-29.23505496160217,10.160565545772277,-18.554857253055847,2026,2026-03-31,USD,False,0.04232380076237092,0.026161411518394406,-0.100940214109727,165.35007204282203,,7.0,,17.33,0.5305300502671819,4.293176294133795,491826000.0,
JD,29.41,2026-08-20,USD,1.0,187951691566.0,1955349837.0,1.392947345925129,1.392947345925129,-552080184.0,99419529217.0,42013414181.0,15316906444.0,30493950748.0,-419909798.0,2701711463.0,198946523.0,1403750000.0,16.259754696303283,-0.22341368399878703,1.04034702776379,-0.2937351503811761,2026,2026-03-31,USD,True,0.04654108396028417,0.019667663408286472,-0.014494837029496114,21.113504459472075,,0.98,,0.14,0.3645718098051964,1.2233102015212107,9774475874.495895,
LULU,115.69,2026-08-20,USD,1.0,11203543000.0,1459659000.0,12.404050103674496,12.404050103674496,2565970000.0,8456743000.0,4961840000.0,1798441000.0,1807202000.0,2048936000.0,2074633000.0,614974000.0,117676000.0,55.69509573891045,18.288286125201644,13.028548201225274,22.90320124624862,2027,2026-04-30,USD,False,0.29417695854763554,0.17260297492781795,0.29104709303715337,9.32679238096021,11.027091306787684,2.74,5.3,1.21,0.3624544523805685,2.258327205453848,2375153000.0,
MDB,420.37,2026-08-20,USD,1.0,2602399000.0,-29091000.0,-0.35901591837473024,-0.35901591837473024,-70739000.0,3758848000.0,2952358000.0,32859000.0,2387241000.0,-108218000.0,-13573000.0,15518000.0,81029833.0,71.96978633945064,-4.158393851211901,-1.1178531808535124,-2.71822268606774,2027,2026-04-30,USD,False,-0.009853479828665765,-0.007739339286930464,-0.38788103952988373,,,11.54,,12.18,0.01112974781513624,4.6525371324100515,2445359000.0,eps_negative (loss)
MDLZ,64.14,2026-08-20,USD,1.0,,,0.0,0.0,,71487000000.0,25891000000.0,21804000000.0,2125000000.0,,,626000000.0,1929211350.0,,,,,2026,2026-06-30,USD,False,0.0,0.0,0.0,,,4.78,,,0.8421459194314627,0.5923435784851812,-8913000000.0,eps_negative (loss)
