Ticker,Name,Sector,Industry,Strategy,Active,Currency,FX_to_USD,verify_fx_handling,Price,Price_USD,EMA_20,EMA_50,EMA_200,RSI_14,ATR_14,Dist_EMA_20_pct,Risk_Score,Date,Market_Cap_B_USD,EV_B,Revenue_B,Net_Income_B,EBITDA_B,FCF_B,ROE_pct,ROA_pct,ROIC_pct,PE,PB,EV_EBITDA,EV_Sales,DE,Current_Ratio,FCF_Yield_pct
MNSO,MINISO Group Holding Ltd.,Retail trade,Specialty stores,,TRUE,CNY,0.14,true,11.015,1.5428000000000002,11.763825701947342,12.335343576597069,15.362146544310288,19.769357495881422,0.3189285714285713,-6.798236059440228,28.75,2026-08-21,0.47,7.18,21.44,1.21,4.41,1.58,11.24,4.21,21.73,2.81,0.32,1.63,0.33,1.01,1.66,46.67
MNST,Monster Beverage Corporation,Consumer non-durables,Beverages: non-alcoholic,,TRUE,USD,1.0,false,47.9296,47.93,47.07496613514856,46.56901487728369,41.60828911920167,56.98454359871684,1.183571428571428,1.783102435345666,25.0,2026-08-21,47.18,44.42,8.29,1.91,2.53,1.94,23.08,19.08,44.08,24.55,5.72,17.53,5.36,0.0,3.7,4.11
MP,,Non-energy minerals,Other metals/minerals,,TRUE,USD,1.0,false,60.15,60.15,53.14470627971544,52.91685494246376,55.33685733776315,80.39508013417816,3.586428571428572,11.646373599808072,30.25,2026-08-21,10.23,9.41,0.22,-0.09,-0.06,-0.33,-4.34,-2.22,-12.55,-119.16,5.17,-168.57,41.93,0.51,7.24,-3.21
MSFT,Microsoft Corporation,Technology services,Packaged software,Core,TRUE,USD,1.0,false,481.465,481.46,469.8427708404563,440.4783815370993,431.93198774144287,45.615030131159166,10.390357142857138,2.41393022536294,25.0,2026-08-21,3588.36,3568.53,331.84,133.75,193.77,66.99,30.23,17.64,36.74,26.74,8.11,18.42,10.75,0.13,1.23,1.87
NFLX,"Netflix, Inc.",Technology services,Internet software/Services,,TRUE,USD,1.0,false,79.515,79.52,76.21384931866695,76.75089298178827,87.37549214970399,67.09035645205856,2.177135714285716,4.151607471965108,25.0,2026-08-21,345.4,350.8,45.18,10.98,30.08,9.46,41.26,19.75,41.62,30.77,12.98,11.66,7.76,0.54,1.19,2.74
NKE,"Nike, Inc.",Consumer non-durables,Apparel/Footwear,,TRUE,USD,1.0,false,40.765,40.77,41.308300018191886,42.49778913876146,51.09660282643877,41.09263657957242,1.121785714285713,-1.3327609915169525,25.0,2026-08-21,60.37,62.38,46.4,3.11,4.59,2.18,20.91,8.09,22.51,19.41,4.06,13.58,1.34,0.74,1.96,3.62
NOW,"ServiceNow, Inc.",Technology services,Packaged software,Core,TRUE,USD,1.0,false,129.88,129.88,120.31545870670168,113.13087688493978,122.68491083449469,69.81561000252587,5.4462500000000045,7.364137121418477,25.0,2026-08-21,135.98,132.1,13.28,1.75,2.56,4.53,13.48,6.71,20.08,77.05,10.49,51.56,9.95,0.19,1.0,3.33
NU,Nu Holdings Ltd.,Finance,Regional banks,,TRUE,USD,1.0,false,14.58,14.58,14.32739010401064,13.989356966070911,14.27266321281422,52.03417412530513,0.6014285714285715,1.7325781617925966,25.0,2026-08-21,71.55,40.66,10.63,2.87,0.1,3.16,25.34,3.83,,24.56,6.32,415.01,3.83,0.17,,4.42
NVDA,NVIDIA Corporation,Electronic technology,Semiconductors,,TRUE,USD,1.0,false,216.5,216.5,215.71411607588175,210.6516914071912,195.38663151464385,61.85820188288042,5.535949999999995,0.3629948841192719,25.0,2026-08-21,5307.28,5255.77,215.94,120.07,133.23,96.68,76.33,58.06,123.27,43.92,33.74,39.45,24.34,0.07,3.91,1.82
NVO,Novo Nordisk A/S Class B,Health technology,Pharmaceuticals: major,Core,TRUE,DKK,0.15,true,46.885,7.032,46.91497397191991,46.878314931589046,49.075952230951565,49.16155419222901,1.539642857142857,-0.0639308348510358,25.0,2026-08-21,31.28,312.53,309.06,102.43,149.64,28.99,52.79,18.87,42.83,2.03,1.07,2.09,1.01,0.67,0.8,13.9
