Ticker,Asset_Type,Snapshot_Date,Price,Price_Date,Volume,RSI_14,MACD,MACD_Signal,MACD_Hist,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,ATR_14,BB_PctB,BB_Width,VolRel10,VolRel20,Stoch_K,Stoch_D,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Currency,FX_Rate,Revenue,Net_Income,EPS_Raw,EPS_Local,EBITDA,Total_Assets,Total_Equity,Total_Debt,Cash,Operating_Income,Pretax_Income,Tax_Expense,Avg_Shares,Gross_Margin,Oper_Margin,Profit_Margin,EBITDA_Margin,Fiscal_Year,Period_End,Income_Currency,FX_Applied,Calc_roe,Calc_roa,Calc_roic,Calc_pe_ttm,Calc_pe_forward_est,Calc_pb,Calc_ev_ebitda,Calc_ev_sales,Calc_debt_equity,Calc_current_ratio,Calc_working_capital,Anomalies
CELH,stock,2026-08-21,32.54,2026-08-20,8857862.0,58.7724,0.2878,-0.3347,0.6225,28.7492,,,29.467,29.9308,30.6055,31.1432,2.1183,1.0059,0.2606,0.6216,0.6729,92.6766,93.3823,84.4852,,10.4287,,36.323,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,USD,1.0,3047274000.0,129117000.0,0.2885233628894932,0.2885233628894932,197273000.0,5119621000.0,2941442000.0,669926000.0,398866000.0,573062000.0,141641000.0,12524000.0,250503111.0,48.760433095284505,18.805726035794613,4.237131285207697,6.473753262752218,2026.0,2026-06-30,USD,False,0.0438958170856335,0.0252200309358837,0.1626120208251414,112.78116154657148,196.73878776936127,2.77,42.69,2.76,0.2277542783437511,1.678975013117325,732428000.0,
COIN,stock,2026-08-21,172.35,2026-08-20,17524648.0,69.6846,-0.4762,-2.2499,1.7737,154.4405,,,155.421,157.1967,158.2178,158.7505,8.1575,1.0391,0.2151,1.9754,2.0705,92.8,66.5777,78.4332,,10.8923,,191.709,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,USD,1.0,6282872000.0,-987766000.0,-3.729934814521116,-3.729934814521116,872979000.0,29671832000.0,14793058000.0,7831459000.0,11914066000.0,733695000.0,-1244280000.0,-256514000.0,264821250.0,72.74477340935802,11.677700898569954,-15.721568098156386,13.894585151503962,2026.0,2026-06-30,USD,False,-0.0667722657478933,-0.0332896870001151,0.0543805697531433,,,3.09,47.61,6.61,0.5294009527982653,2.3431541467107952,11687163000.0,eps_negative (loss)
CROX,stock,2026-08-21,123.09,2026-08-20,1070354.0,44.3056,-0.9441,0.5149,-1.459,132.289,,,130.8861,129.8498,127.9688,126.3854,5.1495,0.0195,0.1447,1.1677,0.9998,7.0041,29.7685,35.6789,,-5.9564,,133.4839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,4054866000.0,593424000.0,11.613335029403997,11.613335029403997,922136000.0,4174750000.0,1293283000.0,1613849000.0,130354000.0,840579000.0,759413000.0,165989000.0,51098500.0,57.46976595527448,20.730130169529644,14.634860930052929,22.74146667238819,2026.0,2026-06-30,USD,False,0.458850847030387,0.1421459967662734,0.2365508186499866,10.599022562282617,14.602170545475904,4.86,8.43,1.92,1.2478699557637425,1.2653139635695707,185754000.0,
DLO,stock,2026-08-21,14.34,2026-08-20,2688463.0,40.5128,-0.1679,-0.1116,-0.0563,14.5663,,,14.4488,14.593,14.6398,14.6582,0.5552,0.3827,0.1324,0.8729,1.1272,36.715,24.7987,37.3206,,-0.7532,,15.5412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,1212690000.0,192146000.0,0.6580721071313828,0.6580721071313828,255530000.0,1540964000.0,569429000.0,90283000.0,548099000.0,229425000.0,233270000.0,41099000.0,291983200.0,35.99938978634276,18.918684907107338,15.844609916796545,21.07133727498372,2026.0,2026-03-31,USD,False,0.3374362738813794,0.1246920758693908,1.6933819239946415,21.79092510471204,13.748882156527806,7.35,14.59,3.08,0.1585500562844533,1.4708999803294305,454847000.0,roic=1.69 high (cash_heavy?)
DOCU,stock,2026-08-21,62.28,2026-08-20,1838044.0,67.2534,3.0742,2.9487,0.1255,57.5115,,,57.9734,53.5106,50.5315,48.5168,2.7022,0.7811,0.295,0.6354,0.6316,72.9754,68.7519,85.498,,7.4286,,69.5566,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,USD,1.0,3286081000.0,315195000.0,1.5748647203721375,1.5748647203721375,467553000.0,4229550000.0,1917820000.0,185119000.0,866526000.0,349633000.0,391294000.0,76099000.0,200141000.0,79.39603436433855,10.639816851745286,9.59182077374234,14.228285912611405,2027.0,2026-04-30,USD,False,0.1643506689887476,0.0745221122814483,0.2277849282500323,39.54625384285919,,6.5,25.2,3.59,0.0965257427704372,0.7310150788856374,-548570000.0,
DPZ,stock,2026-08-21,334.37,2026-08-20,982335.0,41.2435,3.8584,7.789,-3.9306,347.828,,,341.5521,329.9953,320.1507,313.12,10.7103,0.2201,0.1382,1.4355,1.295,13.0064,7.6976,51.0619,,-2.1028,,364.9779,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,,,0.0,0.0,,1716459000.0,-3901142000.0,5048284000.0,125675000.0,,,129073000.0,33382032.0,,,,,2026.0,2026-06-30,USD,False,-0.0,0.0,0.0,,,,,,-1.294052869646888,1.6509718050075606,352580000.0,eps_negative (loss)
DUOL,stock,2026-08-21,147.03,2026-08-20,705918.0,58.0863,3.7561,2.757,0.999,134.7135,,,135.6157,130.5965,127.0457,124.508,9.4507,0.9267,0.2143,0.5229,0.5007,89.8152,85.4547,89.8152,,8.4167,,162.4143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,USD,1.0,1145002000.0,410767000.0,8.830916236555781,8.830916236555781,172884000.0,1992182000.0,1347006000.0,93779000.0,1140467000.0,157085000.0,201868000.0,-208899000.0,46514652.0,72.71742756781211,13.719190010148456,35.874784498193016,15.099012927488335,2026.0,2026-06-30,USD,False,0.3049481591024836,0.2061894947349188,1.0643425367839292,16.649461512426754,3.716261562332784,5.08,33.5,5.06,0.0696203283430066,2.606570286021177,885458000.0,roic=1.06 high (cash_heavy?)
EXPE,stock,2026-08-21,324.17,2026-08-20,934201.0,66.6856,13.9412,13.5508,0.3904,306.9195,,,309.1788,290.509,279.5479,272.644,12.852,0.6988,0.2827,0.6868,0.596,70.8871,74.6879,87.0887,,4.8487,,349.9912,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,USD,1.0,15700000000.0,2036000000.0,16.67171622053176,16.67171622053176,3408000000.0,24452000000.0,2547000000.0,6415000000.0,5733000000.0,2738000000.0,2437000000.0,398000000.0,122123000.0,90.43312101910828,17.439490445859875,12.968152866242038,21.70700636942675,2026.0,2026-06-30,USD,False,0.7993718099725167,0.0832651725830198,0.7094586617762981,19.444308894891943,10.950305749480007,15.54,11.82,2.57,2.5186493914409107,0.7323647715675091,-4458000000.0,
FISV,stock,2026-08-21,51.38,2026-08-20,7429717.0,41.9192,0.1398,0.4332,-0.2934,53.003,,,52.585,52.0207,51.5306,51.1792,2.3536,0.2395,0.1176,1.0176,0.8796,25.7426,30.6459,26.5734,,-2.2916,,55.425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,20866000000.0,2801000000.0,5.239921429239547,5.239921429239547,7927000000.0,80133000000.0,25809000000.0,29123000000.0,798000000.0,4468000000.0,3294000000.0,555000000.0,534550000.0,56.220646027029616,21.41282469088469,13.42375155755775,37.99003163040353,2026.0,2026-06-30,USD,False,0.1085280328567554,0.0349543883294023,0.0686296024645851,9.80549053909318,10.388396414769453,1.06,7.04,2.67,1.1284048200240226,1.03197990791126,764000000.0,
FIVE,stock,2026-08-21,236.31,2026-08-20,1100093.0,65.0055,11.4209,11.7759,-0.355,227.2015,,,227.9092,210.7225,199.3747,191.8328,8.2274,0.658,0.2537,1.2415,1.2585,64.4538,72.9723,83.2806,,3.686,,257.4008,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,USD,1.0,5079222000.0,440549000.0,7.985830633588956,7.985830633588956,757477000.0,4937019000.0,2193290000.0,2032189000.0,932207000.0,560795000.0,586375000.0,145826000.0,55166334.0,36.80514456741604,11.040962572614466,8.673552760639327,14.913248525069392,2027.0,2026-04-30,USD,False,0.2008621750885655,0.0892338068781991,0.1279367473151668,29.591161000342755,17.069182597923145,5.94,18.66,2.78,0.9265482448741388,2.009130969826185,962717000.0,
